Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of oils and fats [CoHD_of],Cost of a healthy diet [CoHD],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n]
Food Prices for Nutrition 1.0,FPN 1.0,United States,USA,2017,YR2017,6.5,0.46,0.018,0.059,3.225,0.61,1.053,3.258,1.2,2,4.9
Food Prices for Nutrition 1.0,FPN 1.0,United States,USA,2018,YR2018,5.7,..,..,..,3.24,..,..,3.273,..,1.7,..
Food Prices for Nutrition 1.0,FPN 1.0,United States,USA,2019,YR2019,4.9,..,..,..,3.268,..,..,3.301,..,1.5,..
Food Prices for Nutrition 1.0,FPN 1.0,United States,USA,2020,YR2020,4.9,..,..,..,3.383,..,..,3.417,..,1.5,..
Food Prices for Nutrition 1.2,FPN 1.2,Vietnam,,2017,YR2017,30.7,,,,3.59,,,,,,
Food Prices for Nutrition 1.2,FPN 1.2,Vietnam,,2018,YR2018,28.1,,,,3.66,,,,,,
Food Prices for Nutrition 1.2,FPN 1.2,Vietnam,,2019,YR2019,25.8,,,,3.78,,,,,,
Food Prices for Nutrition 1.2,FPN 1.2,Vietnam,,2020,YR2020,29.2,,,,4.07,,,,,,
Food Prices for Nutrition 1.3,FPN 1.3,Oceania,,2017,YR2017,,,,,,,,,,,
Food Prices for Nutrition 1.3,FPN 1.3,Oceania,,2018,YR2018,5.5,,,,,,,,,,
Food Prices for Nutrition 1.3,FPN 1.3,Oceania,,2019,YR2019,5.7,,,,,,,,,,
Food Prices for Nutrition 1.3,FPN 1.3,Oceania,,2020,YR2020,5.1,,,,3.07,,,,,,
